State,City,Name,Language,Time,Type,Price,Capacity,Booked
Maharashtra,Mumbai,CinepolisNexusSeawoodsNaviMumbai,English,09:10,Normal,150₹,30,0
Maharashtra,Mumbai,CinepolisNexusSeawoodsNaviMumbai,English,09:10,Executive,170₹,86,5
Maharashtra,Mumbai,CinepolisNexusSeawoodsNaviMumbai,English,09:10,Premium,190₹,76,7
Maharashtra,Mumbai,CinepolisNexusSeawoodsNaviMumbai,English,09:10,Vip,300₹,14,0
Karnataka,Bengaluru,PvrVegaBannerghattaRoad,English,09:50,Classic,200₹,73,0
Karnataka,Bengaluru,PvrVegaBannerghattaRoad,English,09:50,Recliner,350₹,9,0
Karnataka,Bengaluru,PvrOrionMallDrRajkumarRoad,English,10:30,Classic,170₹,108,1
Karnataka,Bengaluru,PvrOrionMallDrRajkumarRoad,English,10:30,Prime,190₹,99,4
Karnataka,Bengaluru,PvrOrionMallDrRajkumarRoad,English,10:30,Recliner,350₹,12,2
WestBengal,Kolkata,PvrManiSquareMallEmBypassRoad,English,10:30,Classic,120₹,45,0
WestBengal,Kolkata,PvrManiSquareMallEmBypassRoad,English,10:30,Prime,120₹,97,5
WestBengal,Kolkata,PvrManiSquareMallEmBypassRoad,English,10:30,Recliner,310₹,21,1
Gujarat,Ahmedabad,PvrAcropolisMallThaltej,English,11:00,PrimePlus,150₹,105,3
Gujarat,Ahmedabad,PvrAcropolisMallThaltej,English,11:00,Prime,150₹,144,0
Gujarat,Ahmedabad,PvrAcropolisMallThaltej,English,11:00,Classic,150₹,48,0
Gujarat,Ahmedabad,PvrAcropolisMallThaltej,English,11:00,Recliner,350₹,10,3
Maharashtra,Pune,CinepolisNexusWestend,English,11:10,Normal,150₹,21,0
Maharashtra,Pune,CinepolisNexusWestend,English,11:10,Executive,150₹,48,0
Maharashtra,Pune,CinepolisNexusWestend,English,11:10,Premium,150₹,45,1
Delhi,NewDelhi,PvrVegasDwarka,English,11:10,Prime,180₹,74,2
Delhi,NewDelhi,PvrVegasDwarka,English,11:10,Classic,150₹,108,0
Delhi,NewDelhi,CinepolisDlfAvenueSaket,English,11:35,Normal,240₹,42,0
Delhi,NewDelhi,CinepolisDlfAvenueSaket,English,11:35,Executive,260₹,56,0
Delhi,NewDelhi,CinepolisDlfAvenueSaket,English,11:35,Premium,280₹,32,0
WestBengal,Kolkata,InoxQuestMallBallygunge,English,12:10,Club,160₹,112,0
WestBengal,Kolkata,InoxQuestMallBallygunge,English,12:10,Executive,160₹,24,0
WestBengal,Kolkata,InoxQuestMallBallygunge,English,12:10,RoyalRecliner,280₹,8,1
WestBengal,Kolkata,InoxQuestMallBallygunge,English,12:10,Royal,160₹,28,0
Maharashtra,Mumbai,PvrLuxePhoenixPalladiumLowerParelMumbai,English,12:15,Prime,550₹,20,0
Maharashtra,Mumbai,PvrLuxePhoenixPalladiumLowerParelMumbai,English,12:15,PrimePlus,550₹,42,1
