State,City,ZIP,Name,Language,Time,Type,Price,Capacity,Booked
Karnataka,Mysuru,570001,PvrGarudaMallAlbertVictorRoad,Kannada,09:45,Classic,140₹,220,2
Karnataka,Mysuru,570001,PvrGarudaMallAlbertVictorRoad,Kannada,09:45,Prime,180₹,25,0
Karnataka,Bengaluru,560055,PvrOrionMallDrRajkumarRoad,Kannada,10:15,Classic,170₹,128,13
Karnataka,Bengaluru,560055,PvrOrionMallDrRajkumarRoad,Kannada,10:15,Prime,190₹,80,19
Karnataka,Bengaluru,560055,PvrOrionMallDrRajkumarRoad,Kannada,10:15,Recliner,350₹,10,2
Karnataka,Bengaluru,560003,InoxMantriSquareMalleshwaram,Kannada,10:30,Club,200₹,209,6
Karnataka,Bengaluru,560022,PvrVaishnaviSapphireMallYashwantpur,Kannada,10:40,Classic,170₹,85,15
Karnataka,Bengaluru,560022,PvrVaishnaviSapphireMallYashwantpur,Kannada,10:40,Prime,190₹,20,10
Karnataka,Bengaluru,560022,PvrVaishnaviSapphireMallYashwantpur,Kannada,10:40,Recliner,300₹,9,6
Karnataka,Tumakuru,572106,InoxSMallTumakuru,Kannada,10:45,Club,160₹,56,25
Karnataka,Tumakuru,572106,InoxSMallTumakuru,Kannada,10:45,Executive,140₹,76,13
Karnataka,Mysuru,570010,InoxMallOfMysoreMgRoad,Kannada,11:00,Club,160₹,200,9
Karnataka,Kalaburagi,585105,InoxOrchidMallKalaburagi,Kannada,11:00,Club,160₹,71,0
Karnataka,Kalaburagi,585105,InoxOrchidMallKalaburagi,Kannada,11:00,Executive,150₹,96,0
Karnataka,Bengaluru,560023,PvrTheCinemaGtWorldMagadiRoad,Kannada,12:35,Recliner,350₹,9,6
Karnataka,Bengaluru,560023,PvrTheCinemaGtWorldMagadiRoad,Kannada,12:35,Classic,200₹,164,42
Karnataka,Mysuru,570010,InoxMallOfMysoreMgRoad,Kannada,13:25,Club,180₹,223,26
Karnataka,Tumakuru,572106,InoxSMallTumakuru,Kannada,13:45,Club,210₹,103,1
Karnataka,Tumakuru,572106,InoxSMallTumakuru,Kannada,13:45,Executive,190₹,166,2
Karnataka,Tumakuru,572106,InoxSMallTumakuru,Kannada,13:45,Royal,300₹,11,4
Karnataka,Davanagere,577004,MovieTimeSsGardeniaMall,Kannada,14:50,Premier,200₹,180,27
Karnataka,Davanagere,577004,MovieTimeSsGardeniaMall,Kannada,14:50,Gold,230₹,79,23
Karnataka,Mysuru,570001,PvrGarudaMallAlbertVictorRoad,Kannada,15:50,Classic,140₹,220,24
Karnataka,Mysuru,570001,PvrGarudaMallAlbertVictorRoad,Kannada,15:50,Prime,180₹,25,10
Karnataka,Bengaluru,560055,PvrOrionMallDrRajkumarRoad,Kannada,16:15,Classic,240₹,128,6
Karnataka,Bengaluru,560055,PvrOrionMallDrRajkumarRoad,Kannada,16:15,Prime,260₹,80,36
Karnataka,Bengaluru,560055,PvrOrionMallDrRajkumarRoad,Kannada,16:15,Recliner,420₹,10,8
Karnataka,Mysuru,570010,InoxMallOfMysoreMgRoad,Kannada,16:40,Club,190₹,264,40
Karnataka,Mysuru,570001,PvrGarudaMallAlbertVictorRoad,Kannada,19:10,Classic,140₹,102,5
